,number_single,number_female,number_union,mean_attractiveness,corr_results,Model Params,Run
257,10,50,90,0.717,-0.1246381173721683,"(100, 'attractiveness', 5, 1, 10, 1)",5
258,6,50,94,0.717,-0.1404819691018283,"(100, 'attractiveness', 5, 1, 10, 1)",5
259,6,50,94,0.717,-0.1404819691018283,"(100, 'attractiveness', 5, 1, 10, 1)",5
260,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",6
261,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",6
262,100,50,0,,,"(100, 'attractiveness', 5, 1, 10, 1)",6
263,94,50,6,0.77,0.45570135326690464,"(100, 'attractiveness', 5, 1, 10, 1)",6
264,92,50,8,0.747,0.6485602151277728,"(100, 'attractiveness', 5, 1, 10, 1)",6
265,88,50,12,0.752,0.6282656320696979,"(100, 'attractiveness', 5, 1, 10, 1)",6
266,82,50,18,0.744,0.6068589037680384,"(100, 'attractiveness', 5, 1, 10, 1)",6
267,74,50,26,0.732,0.5352510386205466,"(100, 'attractiveness', 5, 1, 10, 1)",6
268,72,50,28,0.727,0.31428433130366695,"(100, 'attractiveness', 5, 1, 10, 1)",6
269,72,50,28,0.727,0.31428433130366695,"(100, 'attractiveness', 5, 1, 10, 1)",6
270,72,50,28,0.727,0.31428433130366695,"(100, 'attractiveness', 5, 1, 10, 1)",6
271,66,50,34,0.713,0.19245535628295624,"(100, 'attractiveness', 5, 1, 10, 1)",6
272,64,50,36,0.714,0.16958629681469617,"(100, 'attractiveness', 5, 1, 10, 1)",6
273,62,50,38,0.714,0.14935062568473229,"(100, 'attractiveness', 5, 1, 10, 1)",6
274,58,50,42,0.7150000000000001,0.11769265112782498,"(100, 'attractiveness', 5, 1, 10, 1)",6
275,56,50,44,0.713,0.1048071647210194,"(100, 'attractiveness', 5, 1, 10, 1)",6
276,52,50,48,0.7150000000000001,0.1057059969942402,"(100, 'attractiveness', 5, 1, 10, 1)",6
277,48,50,52,0.716,0.10324747965813696,"(100, 'attractiveness', 5, 1, 10, 1)",6
278,48,50,52,0.716,0.10324747965813696,"(100, 'attractiveness', 5, 1, 10, 1)",6
279,48,50,52,0.716,0.10324747965813696,"(100, 'attractiveness', 5, 1, 10, 1)",6
280,46,50,54,0.716,0.025449976703534962,"(100, 'attractiveness', 5, 1, 10, 1)",6
281,44,50,56,0.7150000000000001,-0.017721940349913985,"(100, 'attractiveness', 5, 1, 10, 1)",6
282,40,50,60,0.716,-0.03520829216993061,"(100, 'attractiveness', 5, 1, 10, 1)",6
283,36,50,64,0.717,-0.02539477382060143,"(100, 'attractiveness', 5, 1, 10, 1)",6
284,34,50,66,0.714,0.040170466019798706,"(100, 'attractiveness', 5, 1, 10, 1)",6
